Event,Date,Weight Class,Fighter 1,Fighter 2,Winner,Method,Round,Time,Fight URL,Event URL,method,Fighter1_Elo_Start,Fighter2_Elo_Start,Fighter1_Elo_End,Fighter2_Elo_End
UFC 278: Usman vs. Edwards,2022-09-03,Women's Bantamweight,Lucie Pudilova,Wu Yanan,Lucie Pudilova,KO/TKOElbows,2,4:04,http://ufcstats.com/fight-details/2cd9e3796be57a79,http://ufcstats.com/event-details/4f853e98886283cf,KO,941.1318681680971,947.8728500079632,964.8151361406934,924.1895820353668
UFC 278: Usman vs. Edwards,2022-09-03,Welterweight,Leon Edwards,Kamaru Usman,Leon Edwards,KO/TKOKick,5,4:04,http://ufcstats.com/fight-details/f70c817388602681,http://ufcstats.com/event-details/4f853e98886283cf,KO,1184.059073223308,1277.9943317530408,1217.2265275230802,1244.8268774532685
UFC 278: Usman vs. Edwards,2022-09-03,Middleweight,Paulo Costa,Luke Rockhold,Paulo Costa,U-DEC,3,5:00,http://ufcstats.com/fight-details/2de6652160cc7b9f,http://ufcstats.com/event-details/4f853e98886283cf,DEC,1076.187195170834,1084.565247263225,1096.9267823915443,1063.8256600425148
UFC 278: Usman vs. Edwards,2022-09-03,Bantamweight,Merab Dvalishvili,Jose Aldo,Merab Dvalishvili,U-DEC,3,5:00,http://ufcstats.com/fight-details/2ac3ce1f62b3c4b9,http://ufcstats.com/event-details/4f853e98886283cf,DEC,1107.5697264304295,1148.7812971925775,1131.3133055693293,1125.0377180536777
UFC 278: Usman vs. Edwards,2022-09-03,Light Heavyweight,Tyson Pedro,Harry Hunsucker,Tyson Pedro,KO/TKOKick,1,1:05,http://ufcstats.com/fight-details/5abcf9f282983acc,http://ufcstats.com/event-details/4f853e98886283cf,KO,1016.6044118333335,957.7119131924767,1032.534847937643,941.7814770881671
UFC 278: Usman vs. Edwards,2022-09-03,Flyweight,Victor Altamirano,Daniel Lacerda,Victor Altamirano,KO/TKOPunches,1,3:39,http://ufcstats.com/fight-details/06d6cde7479711ee,http://ufcstats.com/event-details/4f853e98886283cf,KO,980.0,959.207620800822,999.1289369380128,940.0786838628093
UFC 278: Usman vs. Edwards,2022-09-03,Lightweight,Jared Gordon,Leonardo Santos,Jared Gordon,U-DEC,3,5:00,http://ufcstats.com/fight-details/0cf7a4593fd44e59,http://ufcstats.com/event-details/4f853e98886283cf,DEC,1044.8661997099246,1070.885463213327,1067.200121025207,1048.5515418980447
UFC 278: Usman vs. Edwards,2022-09-03,Welterweight,Ange Loosa,AJ Fletcher,Ange Loosa,U-DEC,3,5:00,http://ufcstats.com/fight-details/4dac5258f22be059,http://ufcstats.com/event-details/4f853e98886283cf,DEC,980.6058106516837,983.1604908058762,1000.8300711407906,962.9362303167693
UFC 278: Usman vs. Edwards,2022-09-03,Flyweight,Amir Albazi,Francisco Figueiredo,Amir Albazi,SUBRear Naked Choke,1,4:34,http://ufcstats.com/fight-details/6b9f82291930bfec,http://ufcstats.com/event-details/4f853e98886283cf,SUB,1037.4857544234928,1012.3551747525473,1056.234979583911,993.6059495921293
UFC 278: Usman vs. Edwards,2022-09-03,Bantamweight,Aoriqileng,Jay Perrin,Aoriqileng,U-DEC,3,5:00,http://ufcstats.com/fight-details/d497d74a0df9e35e,http://ufcstats.com/event-details/4f853e98886283cf,DEC,982.6827737631809,980.1874315420828,1002.4648101714585,960.4053951338052
UFC 278: Usman vs. Edwards,2022-09-03,Heavyweight,Marcin Tybura,Alexandr Romanov,Marcin Tybura,M-DEC,3,5:00,http://ufcstats.com/fight-details/e0b98f3cf4a7cc3b,http://ufcstats.com/event-details/4f853e98886283cf,DEC,1079.0804465993542,1090.0116978272358,1100.0477443763077,1069.0444000502823
UFC Fight Night: Gane vs. Tuivasa,2022-09-10,Heavyweight,Ciryl Gane,Tai Tuivasa,Ciryl Gane,KO/TKOPunches,3,4:23,http://ufcstats.com/fight-details/810c9da07970c4a6,http://ufcstats.com/event-details/00a905a4a4a2b071,KO,1141.9169127218995,1111.5567269295652,1161.9560583166935,1091.5175813347712
UFC Fight Night: Gane vs. Tuivasa,2022-09-10,Middleweight,Robert Whittaker,Marvin Vettori,Robert Whittaker,U-DEC,3,5:00,http://ufcstats.com/fight-details/b8ca1acdf3dc2f58,http://ufcstats.com/event-details/00a905a4a4a2b071,DEC,1186.6913672927406,1116.7779506667684,1201.0393284580337,1102.4299895014753
UFC Fight Night: Gane vs. Tuivasa,2022-09-10,Middleweight,Nassourdine Imavov,Joaquin Buckley,Nassourdine Imavov,U-DEC,3,5:00,http://ufcstats.com/fight-details/20f316f96c9e4458,http://ufcstats.com/event-details/00a905a4a4a2b071,DEC,1050.6432288670533,1063.1617702129265,1071.7526244966818,1042.052374583298
UFC Fight Night: Gane vs. Tuivasa,2022-09-10,Middleweight,Roman Kopylov,Alessio Di Chirico,Roman Kopylov,KO/TKOPunches,3,1:09,http://ufcstats.com/fight-details/1a191251620a84ca,http://ufcstats.com/event-details/00a905a4a4a2b071,KO,961.4151864812643,975.4667468031238,985.849257766241,951.0326755181471
UFC Fight Night: Gane vs. Tuivasa,2022-09-10,Featherweight,William Gomis,Jarno Errens,William Gomis,M-DEC,3,5:00,http://ufcstats.com/fight-details/398db40015b3c81c,http://ufcstats.com/event-details/00a905a4a4a2b071,DEC,1000.0,1000.0,1020.0,980.0
UFC Fight Night: Gane vs. Tuivasa,2022-09-10,Featherweight,Nathaniel Wood,Charles Jourdain,Nathaniel Wood,U-DEC,3,5:00,http://ufcstats.com/fight-details/acc9a109b00a99e1,http://ufcstats.com/event-details/00a905a4a4a2b071,DEC,1055.5914466925099,1014.7552235777204,1072.1697358998329,998.1769343703974
UFC Fight Night: Gane vs. Tuivasa,2022-09-10,Middleweight,Abus Magomedov,Dustin Stoltzfus,Abus Magomedov,KO/TKOPunches,1,0:19,http://ufcstats.com/fight-details/cf9035f2fc2e232f,http://ufcstats.com/event-details/00a905a4a4a2b071,KO,1000.0,968.1757960897106,1018.1709203283044,950.0048757614062
UFC Fight Night: Gane vs. Tuivasa,2022-09-10,Lightweight,Nasrat Haqparast,John Makdessi,Nasrat Haqparast,U-DEC,3,5:00,http://ufcstats.com/fight-details/7bced112f3229b1b,http://ufcstats.com/event-details/00a905a4a4a2b071,DEC,1020.114662751789,1067.986179980834,1044.4858438495876,1043.6149988830355
UFC Fight Night: Gane vs. Tuivasa,2022-09-10,Lightweight,Fares Ziam,Michal Figlak,Fares Ziam,U-DEC,3,5:00,http://ufcstats.com/fight-details/fd47032108b85cf0,http://ufcstats.com/event-details/00a905a4a4a2b071,DEC,1001.1025310751551,1000.0,1021.0060935262936,980.0964375488614
UFC Fight Night: Gane vs. Tuivasa,2022-09-10,Lightweight,Benoit Saint Denis,Gabriel Miranda,Benoit Saint Denis,KO/TKOPunch,2,0:16,http://ufcstats.com/fight-details/3e2f00991f511607,http://ufcstats.com/event-details/00a905a4a4a2b071,KO,1006.9946549471771,1000.0,1029.2952180543177,977.6994368928594
UFC Fight Night: Gane vs. Tuivasa,2022-09-10,Bantamweight,Cristian Quinonez,Khalid Taha,Cristian Quinonez,KO/TKOPunches,1,3:15,http://ufcstats.com/fight-details/ca7fd237c16cec84,http://ufcstats.com/event-details/00a905a4a4a2b071,KO,1000.0,967.9631225373085,1018.1526989430677,949.8104235942408
UFC Fight Night: Gane vs. Tuivasa,2022-09-10,Women's Featherweight,Stephanie Egger,Ailin Perez,Stephanie Egger,SUBRear Naked Choke,2,4:54,http://ufcstats.com/fight-details/ce62a50e97d497f9,http://ufcstats.com/event-details/00a905a4a4a2b071,SUB,1006.344187715341,1000.0,1028.7093752017115,977.6348125136295
UFC 279: Diaz vs. Ferguson,2022-09-17,Catch Weight,Khamzat Chimaev,Kevin Holland,Khamzat Chimaev,SUBD'Arce Choke,1,2:13,http://ufcstats.com/fight-details/0111e6a64b5184c6,http://ufcstats.com/event-details/93bf96be327fcd98,SUB,1112.4061621337598,1113.5968458813436,1133.515765256338,1092.4872427587654
UFC 279: Diaz vs. Ferguson,2022-09-17,Catch Weight,Daniel Rodriguez,Li Jingliang,Daniel Rodriguez,S-DEC,3,5:00,http://ufcstats.com/fight-details/d3e23d7d207d3ccf,http://ufcstats.com/event-details/93bf96be327fcd98,DEC,1098.0494792926145,1110.535336364517,1119.1559448638855,1089.428870793246
UFC 279: Diaz vs. Ferguson,2022-09-17,Catch Weight,Irene Aldana,Macy Chiasson,Irene Aldana,KO/TKOKick,3,2:21,http://ufcstats.com/fight-details/989b8d362742f40b,http://ufcstats.com/event-details/93bf96be327fcd98,KO,1055.890012044776,1062.6816604372834,1079.5784489003368,1038.9932235817228
UFC 279: Diaz vs. Ferguson,2022-09-17,Light Heavyweight,Johnny Walker,Ion Cutelaba,Johnny Walker,SUBRear Naked Choke,1,4:37,http://ufcstats.com/fight-details/d869eaea38426f06,http://ufcstats.com/event-details/93bf96be327fcd98,SUB,1018.2737570166851,1002.7482117809718,1037.868757543132,983.153211254525
UFC 279: Diaz vs. Ferguson,2022-09-17,Featherweight,Julian Erosa,Hakeem Dawodu,Julian Erosa,U-DEC,3,5:00,http://ufcstats.com/fight-details/0e6d624086f7952e,http://ufcstats.com/event-details/93bf96be327fcd98,DEC,1022.8491838332851,1077.4375227143594,1047.8587942800013,1052.427912267643
UFC 279: Diaz vs. Ferguson,2022-09-17,Welterweight,Nate Diaz,Tony Ferguson,Nate Diaz,SUBGuillotine Choke,4,2:52,http://ufcstats.com/fight-details/7e8fd03e070d0c25,http://ufcstats.com/event-details/93bf96be327fcd98,SUB,1087.7086649418932,1119.7535651272824,1112.5412916417556,1094.92093842742
UFC 279: Diaz vs. Ferguson,2022-09-17,Middleweight,Denis Tiuliulin,Jamie Pickett,Denis Tiuliulin,KO/TKOPunches,2,4:52,http://ufcstats.com/fight-details/77acb96700e89c92,http://ufcstats.com/event-details/93bf96be327fcd98,KO,977.0,981.3888317020447,1000.4438495013418,957.944982200703
UFC 279: Diaz vs. Ferguson,2022-09-17,Heavyweight,Chris Barnett,Jake Collier,Chris Barnett,KO/TKOPunches,2,2:24,http://ufcstats.com/fight-details/bf334cb4e63f3430,http://ufcstats.com/event-details/93bf96be327fcd98,KO,981.936731578821,989.0362863286746,1005.65659085789,965.3164270496055
UFC 279: Diaz vs. Ferguson,2022-09-17,Women's Featherweight,Norma Dumont,Danyelle Wolf,Norma Dumont,U-DEC,3,5:00,http://ufcstats.com/fight-details/db3e26d02d790c97,http://ufcstats.com/event-details/93bf96be327fcd98,DEC,1024.8533414507153,1000.0,1042.732747898872,982.1205935518432
UFC 279: Diaz vs. Ferguson,2022-09-17,Bantamweight,Alatengheili,Chad Anheliger,Alatengheili,U-DEC,3,5:00,http://ufcstats.com/fight-details/6010f681e54ba2cd,http://ufcstats.com/event-details/93bf96be327fcd98,DEC,1036.5234520398142,1021.1433182441231,1055.1976861294065,1002.4690841545308
UFC 279: Diaz vs. Ferguson,2022-09-17,Women's Strawweight,Elise Reed,Melissa Martinez,Elise Reed,U-DEC,3,5:00,http://ufcstats.com/fight-details/a5cf273faa3982b7,http://ufcstats.com/event-details/93bf96be327fcd98,DEC,976.3119196690914,1000.0,998.4324251379282,977.8794945311631
UFC 279: Diaz vs. Ferguson,2022-09-17,Welterweight,Yohan Lainesse,Darian Weeks,Yohan Lainesse,S-DEC,3,5:00,http://ufcstats.com/fight-details/86d57e8ef2191316,http://ufcstats.com/event-details/93bf96be327fcd98,DEC,977.3974480898127,963.6073812368456,996.2067542477536,944.7980750789047
UFC 279: Diaz vs. Ferguson,2022-09-17,Catch Weight,Jailton Almeida,Anton Turkalj,Jailton Almeida,SUBRear Naked Choke,1,4:27,http://ufcstats.com/fight-details/301f230c90c4bd7d,http://ufcstats.com/event-details/93bf96be327fcd98,SUB,1044.1508184502818,1000.0,1061.281524554194,982.8692938960878
UFC Fight Night: Sandhagen vs. Song,2022-10-01,Bantamweight,Cory Sandhagen,Song Yadong,Cory Sandhagen,KO/TKO,4,5:00,http://ufcstats.com/fight-details/df370b97ea49e6b4,http://ufcstats.com/event-details/8d477c3fbe001f9d,KO,1106.081271164232,1128.5079434734355,1131.3874370615574,1103.20177757611
UFC Fight Night: Sandhagen vs. Song,2022-10-01,Featherweight,Andre Fili,Bill Algeo,Andre Fili,S-DEC,3,5:00,http://ufcstats.com/fight-details/adb78db5ba8ccc0f,http://ufcstats.com/event-details/8d477c3fbe001f9d,DEC,1016.0692427790387,1034.735464450121,1037.732767635113,1013.0719395940466
UFC Fight Night: Sandhagen vs. Song,2022-10-01,Middleweight,Joe Pyfer,Alen Amedovski,Joe Pyfer,KO/TKOPunch,1,3:55,http://ufcstats.com/fight-details/160c17b8fcb0e2a1,http://ufcstats.com/event-details/8d477c3fbe001f9d,KO,1000.0,937.5742622444089,1015.6500480460071,921.9242141984018
UFC Fight Night: Sandhagen vs. Song,2022-10-01,Heavyweight,Rodrigo Nascimento,Tanner Boser,Rodrigo Nascimento,S-DEC,3,5:00,http://ufcstats.com/fight-details/3cbd3565dd631cc4,http://ufcstats.com/event-details/8d477c3fbe001f9d,DEC,999.9431663459155,1029.5881245268724,1022.6105868755767,1006.9207039972113
UFC Fight Night: Sandhagen vs. Song,2022-10-01,Middleweight,Anthony Hernandez,Marc-Andre Barriault,Anthony Hernandez,SUBArm Triangle,3,1:53,http://ufcstats.com/fight-details/ce5ebaf8caf8c4a7,http://ufcstats.com/event-details/8d477c3fbe001f9d,SUB,1030.0382122174449,1002.2171290037178,1050.3172692216638,981.9380719994988
UFC Fight Night: Sandhagen vs. Song,2022-10-01,Middleweight,Gregory Rodrigues,Chidi Njokuani,Gregory Rodrigues,KO/TKOPunches,2,1:27,http://ufcstats.com/fight-details/bd06f1c2d7e6c4a0,http://ufcstats.com/event-details/8d477c3fbe001f9d,KO,1042.53460796922,1039.7234863628169,1065.252318675431,1017.0057756566058
UFC Fight Night: Sandhagen vs. Song,2022-10-01,Welterweight,Trevin Giles,Louis Cosce,Trevin Giles,U-DEC,3,5:00,http://ufcstats.com/fight-details/46b9acec12a35d37,http://ufcstats.com/event-details/8d477c3fbe001f9d,DEC,1014.8009310834849,977.0,1031.6223497228161,960.1785813606688
UFC Fight Night: Sandhagen vs. Song,2022-10-01,Women's Strawweight,Loma Lookboonmee,Denise Gomes,Loma Lookboonmee,U-DEC,3,5:00,http://ufcstats.com/fight-details/ec0740be19b2ef90,http://ufcstats.com/event-details/8d477c3fbe001f9d,DEC,1010.0620248367069,1000.0,1029.1898489590153,980.8721758776915
UFC Fight Night: Sandhagen vs. Song,2022-10-01,Lightweight,Trey Ogden,Daniel Zellhuber,Trey Ogden,U-DEC,3,5:00,http://ufcstats.com/fight-details/35d06627d91b840d,http://ufcstats.com/event-details/8d477c3fbe001f9d,DEC,982.0757073829075,1000.0,1003.6720439397807,978.4036634431268
UFC Fight Night: Sandhagen vs. Song,2022-10-01,Women's Flyweight,Gillian Robertson,Mariya Agapova,Gillian Robertson,SUBRear Naked Choke,2,2:19,http://ufcstats.com/fight-details/d9f5d05b07bae09e,http://ufcstats.com/event-details/8d477c3fbe001f9d,SUB,1020.5272853858926,993.8633810645296,1040.9161652864173,973.4745011640048
UFC Fight Night: Sandhagen vs. Song,2022-10-01,Bantamweight,Javid Basharat,Tony Gravely,Javid Basharat,U-DEC,3,5:00,http://ufcstats.com/fight-details/be73f75b52b06f14,http://ufcstats.com/event-details/8d477c3fbe001f9d,DEC,1020.0198461932749,1040.0812980856567,1041.8099508089097,1018.2911934700219
UFC Fight Night: Sandhagen vs. Song,2022-10-01,Lightweight,Nikolas Motta,Cameron VanCamp,Nikolas Motta,KO/TKOPunch,1,3:49,http://ufcstats.com/fight-details/8a044e5400b4318f,http://ufcstats.com/event-details/8d477c3fbe001f9d,KO,985.9491368690724,979.8953714033177,1006.3958957271891,959.448612545201
UFC Fight Night: Sandhagen vs. Song,2022-10-01,Featherweight,Damon Jackson,Pat Sabatini,Damon Jackson,KO/TKOPunches,1,1:09,http://ufcstats.com/fight-details/f521ecde1e96a1bd,http://ufcstats.com/event-details/8d477c3fbe001f9d,KO,1050.1959097618465,1072.821516528173,1073.3205899953723,1049.6968362946473
UFC Fight Night: Dern vs. Yan,2022-10-15,Women's Strawweight,Yan Xiaonan,Mackenzie Dern,Yan Xiaonan,M-DEC,5,5:00,http://ufcstats.com/fight-details/d33814971932422a,http://ufcstats.com/event-details/4f670b7972fa0a2e,DEC,1055.572633980413,1084.8163187464484,1078.2030515774388,1062.1859011494225
UFC Fight Night: Dern vs. Yan,2022-10-15,Welterweight,Randy Brown,Francisco Trinaldo,Randy Brown,U-DEC,3,5:00,http://ufcstats.com/fight-details/7d0d2cecab358ba1,http://ufcstats.com/event-details/4f670b7972fa0a2e,DEC,1105.4449927886121,1142.4919218440948,1128.7990093777657,1119.1379052549412
UFC Fight Night: Dern vs. Yan,2022-10-15,Bantamweight,Raoni Barcelos,Trevin Jones,Raoni Barcelos,U-DEC,3,5:00,http://ufcstats.com/fight-details/a73e33dfce8fcfd8,http://ufcstats.com/event-details/4f670b7972fa0a2e,DEC,1040.0838956199061,980.2067494332653,1055.181048117844,965.1095969353273
UFC Fight Night: Dern vs. Yan,2022-10-15,Featherweight,Sodiq Yusuff,Don Shainis,Sodiq Yusuff,SUBGuillotine Choke,1,0:30,http://ufcstats.com/fight-details/1aedd959f1523a27,http://ufcstats.com/event-details/4f670b7972fa0a2e,SUB,1088.7276719582187,1000.0,1102.3820617407275,986.3456102174912
UFC Fight Night: Dern vs. Yan,2022-10-15,Lightweight,Mike Davis,Viacheslav Borshchev,Mike Davis,U-DEC,3,5:00,http://ufcstats.com/fight-details/330506571d2778b1,http://ufcstats.com/event-details/4f670b7972fa0a2e,DEC,1026.0548262472762,995.9825489007773,1043.5037613014558,978.5336138465975
UFC Fight Night: Dern vs. Yan,2022-10-15,Heavyweight,Ilir Latifi,Aleksei Oleinik,Ilir Latifi,U-DEC,3,5:00,http://ufcstats.com/fight-details/de93fda66d203c26,http://ufcstats.com/event-details/4f670b7972fa0a2e,DEC,1045.8788953141402,1036.814629986233,1065.0923973817357,1017.6011279186376
UFC Fight Night: Dern vs. Yan,2022-10-15,Lightweight,Joaquim Silva,Jesse Ronson,Joaquim Silva,KO/TKOFlying Knee,2,3:08,http://ufcstats.com/fight-details/ecc56a86a1eead9d,http://ufcstats.com/event-details/4f670b7972fa0a2e,KO,1007.5617883010315,924.5411484097083,1022.9756090739029,909.1273276368369
UFC Fight Night: Dern vs. Yan,2022-10-15,Middleweight,Brendan Allen,Krzysztof Jotko,Brendan Allen,SUBRear Naked Choke,1,4:17,http://ufcstats.com/fight-details/8c9ff13791378784,http://ufcstats.com/event-details/4f670b7972fa0a2e,SUB,1085.2821178645772,1092.5023780079573,1106.9506322528855,1070.833863619649
UFC Fight Night: Dern vs. Yan,2022-10-15,Catch Weight,Chelsea Chandler,Julija Stoliarenko,Chelsea Chandler,KO/TKOPunches,1,4:15,http://ufcstats.com/fight-details/ad59e2de1ab5c8d2,http://ufcstats.com/event-details/4f670b7972fa0a2e,KO,1000.0,957.4076357669874,1017.2604116059637,940.1472241610237
UFC Fight Night: Dern vs. Yan,2022-10-15,Bantamweight,Guido Cannetti,Randy Costa,Guido Cannetti,SUBRear Naked Choke,1,1:04,http://ufcstats.com/fight-details/6c79db79da9ae874,http://ufcstats.com/event-details/4f670b7972fa0a2e,SUB,970.5993016170546,972.2158244894637,991.7481655633682,951.0669605431501
UFC Fight Night: Dern vs. Yan,2022-10-15,Catch Weight,Daniel Santos,John Castaneda,Daniel Santos,KO/TKOKnee,2,4:28,http://ufcstats.com/fight-details/63f6af6d5f7b82ad,http://ufcstats.com/event-details/4f670b7972fa0a2e,KO,981.7272489357163,1033.7286681494572,1010.2048109554036,1005.2511061297699
UFC Fight Night: Grasso vs. Araujo,2022-10-22,Bantamweight,Raphael Assuncao,Victor Henry,Raphael Assuncao,U-DEC,3,5:00,http://ufcstats.com/fight-details/96d4fe315722d1c1,http://ufcstats.com/event-details/49c29e57d4e2be6f,DEC,1053.9095947051944,1026.126193360741,1071.5466629338614,1008.489125132074
UFC Fight Night: Grasso vs. Araujo,2022-10-22,Bantamweight,Jonathan Martinez,Cub Swanson,Jonathan Martinez,KO/TKOKick,2,4:19,http://ufcstats.com/fight-details/1af23e7aa71a1d17,http://ufcstats.com/event-details/49c29e57d4e2be6f,KO,1075.3314993605677,1084.1879093913383,1099.2309938159242,1060.2884149359818
UFC Fight Night: Grasso vs. Araujo,2022-10-22,Middleweight,Dusko Todorovic,Jordan Wright,Dusko Todorovic,KO/TKOElbows,2,3:12,http://ufcstats.com/fight-details/759c55755d70f7ba,http://ufcstats.com/event-details/49c29e57d4e2be6f,KO,976.1916516681645,973.5677544339795,998.9281139437583,950.8312921583857
UFC Fight Night: Grasso vs. Araujo,2022-10-22,Light Heavyweight,Alonzo Menifield,Misha Cirkunov,Alonzo Menifield,KO/TKOPunch,1,1:28,http://ufcstats.com/fight-details/59695aae245cca73,http://ufcstats.com/event-details/49c29e57d4e2be6f,KO,1039.8450803616427,993.3636981703413,1056.7828131141775,976.4259654178065
UFC Fight Night: Grasso vs. Araujo,2022-10-22,Women's Flyweight,Alexa Grasso,Viviane Araujo,Alexa Grasso,U-DEC,5,5:00,http://ufcstats.com/fight-details/904cf687d22bb486,http://ufcstats.com/event-details/49c29e57d4e2be6f,DEC,1063.6788618360813,1059.2780863942269,1083.295195298277,1039.6617529320313
UFC Fight Night: Grasso vs. Araujo,2022-10-22,Middleweight,Jacob Malkoun,Nick Maximov,Jacob Malkoun,U-DEC,3,5:00,http://ufcstats.com/fight-details/860050f211b44d10,http://ufcstats.com/event-details/49c29e57d4e2be6f,DEC,1005.801371630744,1019.1746121464997,1026.9874494646053,997.9885343126384
UFC Fight Night: Grasso vs. Araujo,2022-10-22,Featherweight,Joanderson Brito,Lucas Alexander,Joanderson Brito,SUBRear Naked Choke,1,2:02,http://ufcstats.com/fight-details/b4bbc1b7efa770f5,http://ufcstats.com/event-details/49c29e57d4e2be6f,SUB,1006.3893696066175,1000.0,1026.805657095614,979.5837125110037
UFC Fight Night: Grasso vs. Araujo,2022-10-22,Women's Strawweight,Piera Rodriguez,Sam Hughes,Piera Rodriguez,U-DEC,3,5:00,http://ufcstats.com/fight-details/60bd4d2878c85f70,http://ufcstats.com/event-details/49c29e57d4e2be6f,DEC,1018.3567048858837,997.5702089711224,1036.5752329509448,979.3516809060612
UFC Fight Night: Grasso vs. Araujo,2022-10-22,Flyweight,Tatsuro Taira,CJ Vergara,Tatsuro Taira,SUBArmbar,2,4:19,http://ufcstats.com/fight-details/fac560495e61d34c,http://ufcstats.com/event-details/49c29e57d4e2be6f,SUB,1020.0,999.7640527757825,1041.004382966023,978.7596698097594
UFC Fight Night: Grasso vs. Araujo,2022-10-22,Welterweight,Pete Rodriguez,Mike Jackson,Pete Rodriguez,KO/TKOKnee,1,1:33,http://ufcstats.com/fight-details/84b04e8d6b251c54,http://ufcstats.com/event-details/49c29e57d4e2be6f,KO,979.0,1000.875419896961,1002.0528729030666,977.8225469938944
UFC Fight Night: Grasso vs. Araujo,2022-10-22,Bantamweight,Mana Martinez,Brandon Davis,Mana Martinez,S-DEC,3,5:00,http://ufcstats.com/fight-details/8252a314c778b8e6,http://ufcstats.com/event-details/49c29e57d4e2be6f,DEC,997.2238612258315,944.9587498986848,1012.9038828916463,929.27872823287
UFC 280: Oliveira vs. Makhachev,2022-10-29,Bantamweight,Aljamain Sterling,TJ Dillashaw,Aljamain Sterling,KO/TKOPunches,2,3:44,http://ufcstats.com/fight-details/1f0d4572e0facbea,http://ufcstats.com/event-details/885e7f70dcac0007,KO,1195.2826197896466,1176.4414878055359,1216.4217672631046,1155.3023403320778
UFC 280: Oliveira vs. Makhachev,2022-10-29,Bantamweight,Sean O'Malley,Petr Yan,Sean O'Malley,S-DEC,3,5:00,http://ufcstats.com/fight-details/5c3c4bcc6c746ca0,http://ufcstats.com/event-details/885e7f70dcac0007,DEC,1106.6636813796156,1129.2112331531896,1128.680066840648,1107.1948476921573
UFC 280: Oliveira vs. Makhachev,2022-10-29,Lightweight,Beneil Dariush,Mateusz Gamrot,Beneil Dariush,U-DEC,3,5:00,http://ufcstats.com/fight-details/69f39e5d959311b1,http://ufcstats.com/event-details/885e7f70dcac0007,DEC,1191.4466022878069,1086.0258067842005,1203.326310301838,1074.1460987701694
UFC 280: Oliveira vs. Makhachev,2022-10-29,Women's Flyweight,Manon Fiorot,Katlyn Cerminara,Manon Fiorot,U-DEC,3,5:00,http://ufcstats.com/fight-details/25f3e4fa781c1c8a,http://ufcstats.com/event-details/885e7f70dcac0007,DEC,1078.3055410383997,1123.1428978579472,1102.3901072152837,1099.0583316810632
UFC 280: Oliveira vs. Makhachev,2022-10-29,Welterweight,Belal Muhammad,Sean Brady,Belal Muhammad,KO/TKOPunches,2,4:47,http://ufcstats.com/fight-details/d325a1483d78ae75,http://ufcstats.com/event-details/885e7f70dcac0007,KO,1181.1311637487443,1113.1624154988851,1197.7962642344107,1096.4973150132187
UFC 280: Oliveira vs. Makhachev,2022-10-29,Lightweight,Islam Makhachev,Charles Oliveira,Islam Makhachev,SUBArm Triangle,2,3:16,http://ufcstats.com/fight-details/523815acf1bb2420,http://ufcstats.com/event-details/885e7f70dcac0007,SUB,1189.123195038486,1242.6346423960943,1217.7661269885675,1213.9917104460128
UFC 280: Oliveira vs. Makhachev,2022-10-29,Light Heavyweight,Nikita Krylov,Volkan Oezdemir,Nikita Krylov,U-DEC,3,5:00,http://ufcstats.com/fight-details/f4d8266a42a41dff,http://ufcstats.com/event-details/885e7f70dcac0007,DEC,1057.6728378200567,1054.4620387021946,1077.3925807986145,1034.7422957236367
UFC 280: Oliveira vs. Makhachev,2022-10-29,Welterweight,Abubakar Nurmagomedov,Gadzhi Omargadzhiev,Abubakar Nurmagomedov,U-DEC,3,5:00,http://ufcstats.com/fight-details/cea6760d7bfbe19b,http://ufcstats.com/event-details/885e7f70dcac0007,DEC,996.4550598491197,980.0,1015.0382488858389,961.4168109632808
UFC 280: Oliveira vs. Makhachev,2022-10-29,Middleweight,Armen Petrosyan,AJ Dobson,Armen Petrosyan,U-DEC,3,5:00,http://ufcstats.com/fight-details/1b204fc28bb023e6,http://ufcstats.com/event-details/885e7f70dcac0007,DEC,1003.6360971899187,980.1784777976907,1021.6315287631712,962.1830462244382
UFC 280: Oliveira vs. Makhachev,2022-10-29,Flyweight,Muhammad Mokaev,Malcolm Gordon,Muhammad Mokaev,SUBArmbar,3,4:26,http://ufcstats.com/fight-details/1e8c33b1917fe1b7,http://ufcstats.com/event-details/885e7f70dcac0007,SUB,1039.123855640594,1007.3300459172434,1059.028192773414,987.4257087844234
UFC 280: Oliveira vs. Makhachev,2022-10-29,Women's Bantamweight,Karol Rosa,Lina Lansberg,Karol Rosa,M-DEC,3,5:00,http://ufcstats.com/fight-details/4011cdf1f182804c,http://ufcstats.com/event-details/885e7f70dcac0007,DEC,1042.2875350172642,983.406864332103,1057.460277427892,968.2341219214752
UFC 280: Oliveira vs. Makhachev,2022-10-29,Middleweight,Caio Borralho,Makhmud Muradov,Caio Borralho,U-DEC,3,5:00,http://ufcstats.com/fight-details/2d36e2c10ee349fe,http://ufcstats.com/event-details/885e7f70dcac0007,DEC,1040.3504419518108,1035.4183915954588,1059.9206881283353,1015.8481454189345
UFC Fight Night: Kattar vs. Allen,2022-11-05,Featherweight,Arnold Allen,Calvin Kattar,Arnold Allen,KO/TKO,2,0:08,http://ufcstats.com/fight-details/a554a72bb0377213,http://ufcstats.com/event-details/be5aab761c40ef35,KO,1153.924322694002,1091.5981446184674,1171.0734618262873,1074.4490054861822
